y[mm],cla,clb,cd,cl,cz,C[mm],C*cz[mm],w[kg/mm],sa[N],si[N],S[N],M[N*m]
625,0.9512499999999999,0.045875,0.1444,1.377625,1.36989926566,1997.5,2736.37378316,1.176,37351.523274811036,5234.559247509624,32116.964027301412,61676.335239909466
626,0.951436,0.04587,0.1443624,1.3778804,1.37013711628,1997.288,2736.5584207,1.176,37340.44728064111,5233.362776824479,32107.08450381663,61642.083254968056
627,0.951622,0.045864999999999996,0.1443248,1.3781358,1.3703749669,1997.076,2736.7429574,1.176,37329.37231810977,5232.166306139333,32097.206011970433,61607.84338121661
628,0.951808,0.04586,0.1442872,1.3783912,1.37061281752,1996.864,2736.92739324,1.176,37318.298387305564,5230.969835454189,32087.328551851373,61573.615616582836
629,0.9519939999999999,0.045855,0.1442496,1.3786466,1.37085066814,1996.652,2737.11172824,1.176,37307.225488317075,5229.773364769044,32077.45212354803,61539.399958994516
630,0.9521799999999999,0.04585,0.144212,1.378902,1.37108851876,1996.44,2737.29596239,1.176,37296.15362123284,5228.576894083898,32067.576727148946,61505.196406379524
631,0.9523659999999999,0.045845,0.1441744,1.3791574,1.37132636938,1996.228,2737.48009569,1.176,37285.08278614142,5227.380423398753,32057.702362742668,61471.00495666578
632,0.952552,0.04584,0.1441368,1.3794128,1.37156422,1996.016,2737.66412814,1.176,37274.01298313139,5226.183952713608,32047.829030417783,61436.82560778134
633,0.952738,0.045835,0.1440992,1.3796682,1.37180207061,1995.804,2737.84805974,1.176,37262.94421229127,5224.987482028462,32037.956730262813,61402.658357654305
634,0.9529239999999999,0.045829999999999996,0.1440616,1.3799236,1.37203992123,1995.592,2738.0318905,1.176,37251.87647370965,5223.791011343318,32028.085462366333,61368.50320421284
635,0.9531099999999999,0.045825,0.14402399999999999,1.380179,1.37227777185,1995.38,2738.2156204,1.176,37240.80976747506,5222.594540658173,32018.215226816887,61334.360145385246
636,0.9532959999999999,0.04582,0.1439864,1.3804344,1.37251562247,1995.1680000000001,2738.39924946,1.176,37229.74409367606,5221.398069973027,32008.346023703034,61300.22917909982
637,0.9534819999999999,0.045815,0.1439488,1.3806898,1.37275347309,1994.9560000000001,2738.58277767,1.176,37218.67945240122,5220.201599287882,31998.47785311334,61266.110303284986
638,0.953668,0.04581,0.1439112,1.3809452,1.37299132371,1994.744,2738.76620502,1.176,37207.61584373909,5219.005128602737,31988.610715136354,61232.00351586927
639,0.953854,0.045805,0.1438736,1.3812006,1.37322917433,1994.532,2738.94953154,1.176,37196.553267778225,5217.808657917592,31978.74460986063,61197.90881478122
