,,,,,,,,,,,,b1t+b2t,(A-b1*t)/b1,hf-2*centerof gravity,,,,,,,,,,,,,,stiffner,,,,,,,フランジE,71016018,,,,Fcc/Fcy coeff,0.619997588
y , S , M,S_ULT,M_ULT,Sf,Mf,hf,b2,b1,t,ウェブの厚さ,断面積A,重心まで,he,P=Mf/he,fc=Pc/A,qmax,fs,間隔(all),枚数,b間隔(ウェブ間),fs(ウエブ剪断応力),a/b,K,Fscr[Pa],Fsu,M.S.,bs1,bs2,bt,I,he/dc,Iy/het^3,Iy,F_cy,E,sqrt(F_cy/E),b/t,sqrt(F_cy/E)(b/t),Fcc/Fcy,Fcc
625,31543.03206,63119.1057,47314.54809,94678.65854,37851.63847,75742.92683,320,34.5,34.5,6,2.03,537.627,9.583391304,300.8332174,251.7771391,468311.9322,125822.6695,61981.61057,375,3,125,61981.61057,2.56,5.5,102989.5328,317158,0.661614338,22,19,2.29,5314.602391,2.406665739,2.2,5536.516302,441264,71016018,0.078826291,5.75,0.453251171,1.153222384,508875.5223
1000,29266.44978,51473.54213,43899.67466,77210.3132,35119.73973,61768.25056,303.7142857,34,34,5.5,,374,5.5,292.7142857,211.0189136,564221.6941,119979.5891,,500,4,125,,2.429714286,,0,,,,,,,,,,,,,,,,
1500,24835.6276,37706.29925,37253.44139,56559.44887,29802.75311,45247.5591,282,25,25,5,,250,5,272,166.3513202,665405.2808,109568.9453,,500,4,125,,2.256,,0,,,,,,,,,,,,,,,,
2000,20171.0065,26220.77139,30256.50976,39331.15708,24205.2078,31464.92567,260.2857143,25,25,4.5,,225,4.5,251.2857143,125.215736,556514.3823,96325.44323,,500,4,125,,2.082285714,,0,,,,,,,,,,,,,,,,
2500,15628.90266,17056.58234,23443.35398,25584.87352,18754.68319,20467.89881,238.5714286,25,25,4,,200,4,230.5714286,88.77031703,443851.5852,81340.01382,,500,4,125,,1.908571429,,0,,,,,,,,,,,,,,,,
3000,11412.45258,10104.74214,17118.67887,15157.1132,13694.9431,12125.69056,216.8571429,25,25,3.5,,175,3.5,209.8571429,57.78069023,330175.3727,65258.40823,,500,4,125,,1.734857143,,0,,,,,,,,,,,,,,,,
3500,7668.186404,5162.339415,11502.27961,7743.509122,9201.823685,6194.807298,195.1428571,25,25,3,,150,3,189.1428571,32.75200233,218346.6822,48650.12522,,500,2,250,,0.780571429,,0,,,,,,,,,,,,,,,,
4000,4363.833118,2007.928368,6545.749677,3011.892552,5236.599742,2409.514041,173.4285714,25,25,2.5,,125,2.5,168.4285714,14.30585097,114446.8077,31090.92298,,500,1,500,,0.346857143,,0,,,,,,,,,,,,,,,,
4500,1613.473388,405.885896,2420.210083,608.828844,1936.168066,487.0630752,151.7142857,25,25,2,,100,2,147.7142857,3.297332231,32973.32231,13107.52076,,500,1,500,,0.303428571,,0,,,,,,,,,,,,,,,,
5000,0,0,0,0,0,0,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,ヤング率E[Mpa],71,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウェブの厚さ落として分割数上げる,,,,,
